cluster_id,id,title,author,doi
0,C_001359,Special Issue on Information Technologies and Knowledge Management (Foreword),"Sambamurthy, V. and Subramani, Mani",10.2307/25148665
0,C_001393,Special Issue on Information Technologies and Knowledge Management (Part II),"Sambamurthy, V. and Subramani, Mani",10.2307/25148676
1,C_000539,Errata Notes,"Estes, Naomi E.",10.2307/248715
1,C_001435,Errata Notes,"Estes, Naomi E.",10.2307/248713
1,C_002150,Errata Notes,"Estes, Naomi E.",10.2307/248714
2,C_001935,Special Issue Introduction: Digital Technologies and the Advancement of Social Justice: A Framework and Agenda,"Pang, Min-Seok and Kankanhalli, Atreyi and Aanestad, Margunn and Ram, Sudha and Maruping, Likoebe M.",10.25300/MISQ/2024/790
2,C_002104,Digital Technologies and the Advancement of Social Justice: A Framework and Agenda,"Pang, Min-Seok and Kankanhalli, Atreyi and Aanestad, Margunn and Ram, Sudha and Maruping, Likoebe M.",10.25300/MISQ/2024/484E3
2,D_001546,Special Issue Introduction: Digital Technologies and the Advancement of Social Justice: A Framework and Agenda,"Pang, Min-Seok and Kankanhalli, Atreyi and Aanestad, Margunn and Ram, Sudha and Maruping, Likoebe M.",10.25300/MISQ/2024/790
3,C_001380,Editor’s Comments,"Saunders, Carol",10.2307/25148765
3,C_001450,Editor’s Comments,"Saunders, Carol",10.2307/25148753
4,C_000601,Editor's Comments: Parting Thoughts on My Term of Office as EIC of MISQ (2008-2012),Straub,10.2307/41703495
4,C_000978,Editor’s Comments,"Straub, Detmar and Giudice, Manlio del",10.2307/41703494
