cluster,ID,title,author,dblp_key,number,volume,year,journal,doi,ENTRYTYPE,pages,__orig_index
1,000568,International Multifoods - Case A,"DeSanctis, Gerardine and Price, Robert M.",https://dblp.org/rec/journals/jitech/DeSanctisP01,3,16,2001,Journal of Information Technology,10.1080/02683960110063636,article,,567
1,000569,International Multifoods - Case B,"DeSanctis, Gerardine and Price, Robert M.",https://dblp.org/rec/journals/jitech/DeSanctisP01a,3,16,2001,Journal of Information Technology,10.1080/02683960110063645,article,,568
2,000973,On being 'systematic' in literature reviews in IS,"Boell, Sebastian K. and Cecez-Kecmanovic, Dubravka",https://dblp.org/rec/journals/jitech/BoellC15,2,30,2015,Journal of Information Technology,10.1057/JIT.2014.26,article,,972
2,000974,"Debating systematic literature reviews (SLR) and their ramifications for IS - a rejoinder to Mike Chiasson, Briony Oates, Ulrike Schultze, and Richard Watson","Boell, Sebastian K. and Cecez-Kecmanovic, Dubravka",https://dblp.org/rec/journals/jitech/BoellC15a,2,30,2015,Journal of Information Technology,10.1057/JIT.2015.15,article,,973
3,001055,How do requirements evolve over time? A case study investigating the role of context and experiences in the evolution of enterprise software requirements,"Schneider, Stephan and Wollersheim, Jan and Krcmar, Helmut and Sunyaev, Ali",https://dblp.org/rec/journals/jitech/SchneiderWKS18,2,33,2018,Journal of Information Technology,10.1057/S41265-016-0001-Y,article,,1054
3,001056,Erratum to - How do requirements evolve over time? A case study investigating the role of context and experiences in the evolution of enterprise software requirements,"Schneider, Stephan and Wollersheim, Jan and Krcmar, Helmut and Sunyaev, Ali",https://dblp.org/rec/journals/jitech/SchneiderWKS18a,2,33,2018,Journal of Information Technology,10.1057/S41265-017-0039-5,article,,1055
4,000955,"Maybe not the king, but an invaluable subordinate - a commentary on Avison and Malaurent's advocacy of 'theory light' IS research","Markus, M. Lynne",https://dblp.org/rec/journals/jitech/Markus14,4,29,2014,Journal of Information Technology,10.1057/JIT.2014.19,article,,954
4,000983,"Maybe not the king, but an invaluable subordinate - a commentary on Avison and Malaurent's advocacy of 'theory light' IS research","Markus, M. Lynne",https://dblp.org/rec/journals/jitech/Markus15a,1,30,2015,Journal of Information Technology,10.1057/JIT.2015.4,article,,982
5,000863,IS research methods - inclusive or exclusive?,"Lee, Allen S.",https://dblp.org/rec/journals/jitech/Lee11,4,26,2011,Journal of Information Technology,10.1057/JIT.2011.24,article,,862
5,000895,IS research methods - inclusive or exclusive?,"Lee, Allen S.",https://dblp.org/rec/journals/jitech/Lee12,2,27,2012,Journal of Information Technology,10.1057/JIT.2012.2,article,,894
6,000789,Sponsorship and IT vendor management of projects,"Liu, Li and Yetton, Philip",https://dblp.org/rec/journals/jitech/LiuY09,1,24,2009,Journal of Information Technology,10.1057/JIT.2009.2,article,,788
6,000831,Sponsorship and IT vendor management of projects,"Liu, Li and Yetton, Philip",https://dblp.org/rec/journals/jitech/LiuY10,1,25,2010,Journal of Information Technology,10.1057/JIT.2008.23,article,,830
7,000017,The Study of Information - Interdisciplinary Messages,"Aleksander, Igor",https://dblp.org/rec/journals/jitech/Aleksander86e,2,1,1986,Journal of Information Technology,10.1057/JIT.1986.25,article,,16
7,000038,A Message,"Land, Frank",https://dblp.org/rec/journals/jitech/Land86,1,1,1986,Journal of Information Technology,10.1057/JIT.1986.2,article,,37
