cluster,ID,title,author,number,volume,journal,grobid-version,file,ENTRYTYPE,year,doi,note,__orig_index
1,0000000164,Sponsorship and IT vendor management of projects,"Liu, Li and Yetton, Philip",1,24,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/24_1/LiuYetton2009.pdf,article,2008,10.1057/JIT.2009.2,,159
1,0000000673,Sponsorship and IT vendor management of projects,"Liu, Li and Yetton, Philip",1,25,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/25_1/LiuYetton2010.pdf,article,2008,10.1057/JIT.2008.23,,667
2,001186,AIT annual report 1991,"Leeming, Anne",3,6,Journal of Information Technology,lfoppiano/grobid:0.8.2,data/pdfs/6_3-4/Leeming1991d.pdf,article,,,Book review,1132
2,001252,AIT annual report 1991,"Leeming, Anne",3,6,Journal of Information Technology,lfoppiano/grobid:0.8.2,data/pdfs/6_3/LeemingAnne1991.pdf,article,,,Book review,1197
3,0000000070,On being 'systematic' in literature reviews in IS,"Boell, Sebastian K and Cecez-Kecmanovic, Dubravka",2,30,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/30_2/BoellCecezKecmanovic2015.pdf,article,2014,10.1057/JIT.2014.26,,67
3,0000000194,"Debating systematic literature reviews (SLR) and their ramifications for IS: a rejoinder to Mike Chiasson, Briony Oates, Ulrike Schultze, and Richard Watson","Boell, Sebastian K and Cecez-Kecmanovic, Dubravka",2,30,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/30_2/BoellCecezKecmanovic2015a.pdf,article,,10.1057/JIT.2015.15,,189
4,0000000218,The formulation and implementation of strategic information systems -case studies,"Remenyi, D. S ]",1,5,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/5_1/UnknownUNKNOWNl.pdf,article,,,Book review,213
4,001202,The formulation and implementation of strategic information systems -case studies,"Remenyi, D. S ]",1,5,Journal of Information Technology,lfoppiano/grobid:0.8.2,data/pdfs/5_1/Harris1990b.pdf,article,,,Book review,1148
5,001157,Author(s)' Response to Commentaries on Debates and Perspectives,"Grover, Varun and Lyytinen, Kalle",1,38,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/38_1/02683962231156622.pdf,article,,10.1177/02683962231156622,,1104
5,001159,Author(s)' Response to Commentaries on Debates and Perspectives,"Grover, Varun and Lyytinen, Kalle",1,38,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/38_1/02683962221126729.pdf,article,,10.1177/02683962221126729,,1106
6,0000000009,"Maybe not the king, but an invaluable subordinate: a commentary on Avison and Malaurent's advocacy of 'theory light' IS research","Markus, M. Lynne",1,30,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/30_1/Markus2015.pdf,article,,10.1057/JIT.2015.4,Correction,6
6,0000000729,"Maybe not the king, but an invaluable subordinate: a commentary on Avison and Malaurent's advocacy of 'theory light' IS research","Markus, M. Lynne",4,29,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/29_4/Markus2014.pdf,article,2014,10.1057/JIT.2014.19,,723
7,0000000377,IS research methods: inclusive or exclusive?,"Lee, Allen S",2,27,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/27_2/Lee2012a.pdf,article,,10.1057/JIT.2012.2,Correction,372
7,0000000529,IS research methods: inclusive or exclusive?,"Lee, Allen S",4,26,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/26_4/Lee2011.pdf,article,,10.1057/JIT.2011.24,,523
8,001189,Shorter notices Computer Systems Development,"Friedman, Andrew L and John, Dominic S Cornford",2,6,Journal of Information Technology,lfoppiano/grobid:0.8.2,data/pdfs/6_2/Leeming1991b.pdf,article,,,,1135
8,001192,Shorter notices Computer Systems Development,"Friedman, Andrew L and John, Dominic S Cornford",2,6,Journal of Information Technology,lfoppiano/grobid:0.8.2,data/pdfs/6_2/Leeming1991a.pdf,article,,,,1138
9,0000000720,Book reviews,"Griffiths, Catherine",4,11,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/11_4/Griffiths1996.pdf,article,,,Book review,714
9,0000000752,Book reviews,"Subrata, Das K.",4,11,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/11_4/Das1996.pdf,article,,,Book review,746
9,0000000770,Book reviews,"Anderton, Matthew",4,11,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/11_4/Anderton1996.pdf,article,,,Book review,763
10,0000000476,and the Organization,"Holtham, Clive and Harvard, Richard Walton",3,6,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/6_3-4/HolthamHarvard1991.pdf,article,,,Book review,470
10,0000000694,The evolution of interorganizational systems,"Meier, Johannes and Spraguejr, Ralph H",3,6,Journal of Information Technology,lfoppiano/grobid:0.8.1,data/pdfs/6_3-4/MeierSprague1991.pdf,article,,,,688
