cluster,ID,title,author,number,volume,journal,grobid-version,file,ENTRYTYPE,doi,note,year,__orig_index
1,0000000506,Decision Support and Knowledge-Based Systems: A Special Issue,"Stohr, Edward A",4,2,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2_4/Stohr1986.pdf,article,,,,503
1,0000000954,special Issue: Decision Support and Knowledge-Based Systems,"Stohr, Edward A",4,3,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/3_4/Stohr1987.pdf,article,,,,950
2,0000000107,Special Issue: Crossing Boundaries in Information Systems Research,"Briggs, Robert O and Nunamaker, Jay F and Sprague, Ralph H",4,22,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/22_4/BriggsNunamakerJrSpragueJr2006.pdf,article,,,,104
2,0000000276,Special Issue: Designing Tools to Answer Great Information Systems Research Questions,"Briggs, Robert O",4,33,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/33_4/GiboneyBriggsNunamaker2016.pdf,article,10.1080/07421222.2016.1267512,,,273
3,0000000147,Special Section: Strategic Information Systems,"Clemons, Eric K and Weber, Bruce W",2,15,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_2/ClemonsWeber1998a.pdf,article,,,,144
3,0000000148,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Weber, Bruce W",2,16,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_2/ClemonsWeber1999.pdf,article,,,,145
3,0000000255,"Special Section: Competitive Strategy, Economics, and Information Systems","Clemons, Eric K and Kauffman, Robert J and Weber",3,27,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/27_3/ClemonsKauffmanWeber2010.pdf,article,10.2753/MIS0742-1222270301,,,252
3,0000000514,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Row, Michael C",2,9,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/9_2/ClemonsRow1992a.pdf,article,,,,511
3,0000000533,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Weber, Bruce W",2,14,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_2/ClemonsWeber1997.pdf,article,,,,530
3,0000000835,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Row, Michael C",2,10,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/10_2/ClemonsRow1993a.pdf,article,,,,831
3,0000000892,"Special Issue: Competitive Strategy, Economics, and Information Systems","Clemons, Eric K and Dewan, Rajiv M and Kaufeman, Robert J and Kauffman, Robert J",2,21,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/21_2/ClemonsDewanKauffman2004.pdf,article,,,,888
3,0000000902,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K",2,8,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/8_2/Clemons1991.pdf,article,,,,898
3,0000001351,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Row, Michael C",2,12,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_2/ClemonsRow1995.pdf,article,,,,1347
3,0000001458,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Weber, Bruce W",2,13,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/13_2/ClemonsWeber1996.pdf,article,,,,1454
3,0000001493,"Special Section: Competitive Strategy, Economics, and Information Systems","Clemons, Eric K and Kauffman, Robert J and Weber",2,26,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/26_2/ClemonsKauffmanWeber2009.pdf,article,10.2753/MIS0742-1222260201,,,1489
3,0000001549,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Row, Michael C",2,11,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_2/ClemonsRow1994.pdf,article,,,,1545
4,0000000675,A Video-Based Screening System for Automated Risk Assessment Using Nuanced Facial Features,"Pentland, Steven J and Twyman, Nathan W and Burgoon, Judee K and Nunamaker, Jay F and Diller, Christopher B R",4,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_4/PentlandTwymanBurgoonEtAl2017.pdf,article,10.1080/07421222.2017.1393304,,,672
4,001604,"""A Video-Based Screening System for Automated Risk Assessment Using Nuanced Facial Features""","Pentland, Steven J and Twyman, Nathan W and Burgoon, Judee K and Nunamaker, Jay F and Diller, Christopher B R",3,35,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/35_3/PentlandTwymanBurgoonEtAl2018.pdf,article,10.1080/07421222.2017.1393304,,,1598
5,0000000857,Special Section: Information Technology and IT Organizational Impact,"Nunamaker, Jay F and Sprague, Ralph H",3,11,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_3/NunamakerJrSpragueJr1995.pdf,article,,,,853
5,0000001510,Special Issue: Information Technology and Its Organizational Impact,"Nunamaker, Jay F and Sprague, Ralph H",3,12,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_3/NunamakerJrSpragueJr1996.pdf,article,,,,1506
6,0000000719,Managing the Risks Associated with End-User Computing,"Alavi, Maryam and Weiss, Ira R",3,2,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2_3/AlaviWeiss1985.pdf,article,,,,716
6,0000001354,EN,,3,2,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2_3/Zwass1985c.pdf,article,,,2016,1350
6,0000001526,Effect of Organizational Maturity on End-Users' Satisfaction with Information Systems,"Mahmood, Mo A and Becker, Jack D",3,2,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2_3/MahmoodBecker1985.pdf,article,,,,1522
7,0000000702,Special Section: Information Technology and Organization Design,"Baroudi, Jack and Lucas, Henry C",4,10,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/10_4/BaroudiLucas1994.pdf,article,,,,699
7,0000001559,The Role of Information Technology in Organization Design,"Lucas, Henry C and Baroudi, Jack",4,10,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/10_4/LucasJrBaroudi1994.pdf,article,,,,1555
